SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;Corncob;0.0627471293275678;0.55;0.00276641907810939;200;3;61;Setting 4
MIDASim;Corncob;0.0327644085360804;0.236267676767677;0.000985982558944305;50;5;61;Setting 5
MIDASim;Corncob;0.0654287788950052;0.7;0.0037397643440876;200;5;61;Setting 6
MIDASim;Corncob;0.075;0.00109090909090909;0.000207410252586018;50;1.5;123;Setting 7
MIDASim;Corncob;0.209333333333333;0.016734693877551;0.000676795551265718;200;1.5;123;Setting 8
MIDASim;Corncob;0.1145;0.023211175616836;0.000494558803698587;50;3;123;Setting 9
MIDASim;Corncob;0.0886563744177843;0.411538461538462;0.00395751903230062;200;3;123;Setting 10
MIDASim;Corncob;0.0481893936841612;0.307453231292517;0.00202055477834299;50;5;123;Setting 11
MIDASim;Corncob;0.608314025223329;0.387857142857143;0.0629226392821353;200;5;123;Setting 12
MIDASim;DESeq2;0.3775;0.00567567567567568;0.00137319495341457;50;1.5;61;Setting 1
MIDASim;DESeq2;0.1945;0.0102702702702703;0.000589583079077047;200;1.5;61;Setting 2
MIDASim;DESeq2;0.263380952380952;0.0369230769230769;0.0018298684231276;50;3;61;Setting 3
MIDASim;DESeq2;0.0469363337032726;0.5315;0.0019600976384553;200;3;61;Setting 4
MIDASim;DESeq2;0.0690611538444356;0.269368686868687;0.00231683232061736;50;5;61;Setting 5
MIDASim;DESeq2;0.0263115364039667;0.708974358974359;0.00144284180500507;200;5;61;Setting 6
MIDASim;DESeq2;0.289166666666667;0.00563636363636364;0.00114665641221247;50;1.5;123;Setting 7
MIDASim;DESeq2;0.145333333333333;0.0153061224489796;0.0004408572064379;200;1.5;123;Setting 8
MIDASim;DESeq2;0.357035714285714;0.0409651669085631;0.00283885129595343;50;3;123;Setting 9
MIDASim;DESeq2;0.0771966165126966;0.404423076923077;0.00340216590205007;200;3;123;Setting 10
MIDASim;DESeq2;0.0632681220524638;0.303358843537415;0.00227598765796335;50;5;123;Setting 11
MIDASim;DESeq2;0.517491978812983;0.4625;0.0515395317287962;200;5;123;Setting 12
MIDASim;MaAsLin2;0.03;0.000294117647058824;0.000206868671287351;50;1.5;61;Setting 1
MIDASim;MaAsLin2;0.05;0.00245495495495496;0.000441458561482102;200;1.5;61;Setting 2
MIDASim;MaAsLin2;0.0666666666666667;0.0130325467167572;0.000856044163482173;50;3;61;Setting 3
MIDASim;MaAsLin2;0.0577342109883082;0.390062023562024;0.00659572356575167;200;3;61;Setting 4
MIDASim;MaAsLin2;0.0425338515114057;0.198981467294286;0.00413721677277908;50;5;61;Setting 5
MIDASim;MaAsLin2;0.143903601593909;0.655540685567001;0.0298956750924778;200;5;61;Setting 6
MIDASim;MaAsLin2;0.01;0.000559049615653389;0.00006802721088;50;1.5;123;Setting 7
MIDASim;MaAsLin2;0.0275;0.00585623194698786;0.000269728311810684;200;1.5;123;Setting 8
MIDASim;MaAsLin2;0.139583333333333;0.0108240388172686;0.00166156622148848;50;3;123;Setting 9
MIDASim;MaAsLin2;0.042820574004549;0.290573453996983;0.00471742378484375;200;3;123;Setting 10
MIDASim;MaAsLin2;0.0951256312679957;0.305630154482391;0.0130882031890618;50;5;123;Setting 11
MIDASim;MaAsLin2;0.726577470954888;0.296265334246466;0.266366366595858;200;5;123;Setting 12
