SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;ALDEx2;0.02;0.0107692307692308;0.000457157784743992;50;1.5;26;Setting 7
MIDASim;LinDA;0.0535;0.0146153846153846;0.00115384615384615;50;1.5;26;Setting 7
MIDASim;ZicoSeq;0.14071429  ;0.06410897  ;0.01059922 ;50;1.5;26;Setting 7
MIDASim;Corncob;0.165833333333333;0.0288461538461538;0.0046674917316029;50;1.5;26;Setting 7
MIDASim;camp;0.0345;0.01;0.000480769230769231;50;1.5;26;Setting 7
MIDASim;ADAPT;0.0754660894660895;0.174230769230769;0.00605351720470733;200;1.5;26;Setting 8
MIDASim;WilcoxCLR;0.237845981818568;0.236923076923077;0.0686538461538461;200;1.5;26;Setting 8
MIDASim;WilcoxTSS;0.322521648033742;0.360384615384615;0.0796424923391215;200;1.5;26;Setting 8
MIDASim;ANCOMBC2;0.270630952380952;0.128846153846154;0.0162736120257772;200;1.5;26;Setting 8
MIDASim;DESeq2;0.0872325647778434;0.367307692307692;0.011617722165475;200;1.5;26;Setting 8
MIDASim;ALDEx2;0.0236525974025974;0.125;0.0014632277834525;200;1.5;26;Setting 8
MIDASim;LinDA;0.2527259143804;0.277692307692308;0.0447115384615385;200;1.5;26;Setting 8
MIDASim;ZicoSeq;0.0181768575851393;0.0276923076923077;0.00592822078032955;200;1.5;26;Setting 8
MIDASim;Corncob;0.316499217611391;0.433461538461538;0.0789632277834525;200;1.5;26;Setting 8
MIDASim;camp;0.392219896377222;0.223461538461538;0.0609615384615385;200;1.5;26;Setting 8
MIDASim;ADAPT;0.080145413764979;0.208523076923077;0.00790843265199554;50;3;26;Setting 9
MIDASim;WilcoxCLR;0.074507326007326;0.230384615384615;0.00855769230769231;50;3;26;Setting 9
MIDASim;WilcoxTSS;0.041618544853839;0.243846153846154;0.00483824187429518;50;3;26;Setting 9
MIDASim;ANCOMBC2;0.112257936507937;0.173419230769231;0.00803523014848798;50;3;26;Setting 9
MIDASim;DESeq2;0.08412041527444;0.477692307692308;0.0150174544131516;50;3;26;Setting 9
MIDASim;ALDEx2;0.0442388167388167;0.209230769230769;0.00438007534185853;50;3;26;Setting 9
MIDASim;LinDA;0.086935763774049;0.234615384615385;0.00865384615384615;50;3;26;Setting 9
MIDASim;ZicoSeq;0.0309287925696594;0.0817358974358974;0.0102011499906351;50;3;26;Setting 9
MIDASim;Corncob;0.106268861985967;0.410384615384615;0.0171815173206174;50;3;26;Setting 9
MIDASim;camp;0.0403669663669664;0.110769230769231;0.00259615384615385;50;3;26;Setting 9
MIDASim;ADAPT;0.0416132792455447;0.708461538461538;0.0104075136372504;200;3;26;Setting 10
MIDASim;WilcoxCLR;0.181359010088815;0.789615384615385;0.0715384615384615;200;3;26;Setting 10
MIDASim;WilcoxTSS;0.105387614990035;0.765384615384615;0.0310686925434116;200;3;26;Setting 10
MIDASim;ANCOMBC2;0.0582291769633875;0.801198717948718;0.0160276372306352;200;3;26;Setting 10
MIDASim;DESeq2;0.134887204535526;0.870384615384615;0.0417888151174668;200;3;26;Setting 10
MIDASim;ALDEx2;0.0358663594647576;0.770769230769231;0.00877808988764045;200;3;26;Setting 10
MIDASim;LinDA;0.0994820245124324;0.757692307692308;0.0234615384615385;200;3;26;Setting 10
MIDASim;ZicoSeq;0.171562338744929;0.881802564102564;0.127302053464331;200;3;26;Setting 10
MIDASim;Corncob;0.152866757854915;0.855;0.0493245658835546;200;3;26;Setting 10
MIDASim;camp;0.101932843010502;0.660384615384615;0.0222115384615385;200;3;26;Setting 10
MIDASim;ADAPT;0.0615940327118278;0.647307692307692;0.0148664970069014;50;5;26;Setting 11
MIDASim;WilcoxCLR;0.0777142843432822;0.685769230769231;0.0185576923076923;50;5;26;Setting 11
MIDASim;WilcoxTSS;0.0577267787468959;0.695384615384615;0.0135645404468388;50;5;26;Setting 11
MIDASim;ANCOMBC2;0.0586383102621493;0.577692307692308;0.0123536838915087;50;5;26;Setting 11
MIDASim;DESeq2;0.109759255165134;0.871153846153846;0.0337929077728913;50;5;26;Setting 11
MIDASim;ALDEx2;0.0354344264957907;0.665769230769231;0.00815839775044431;50;5;26;Setting 11
MIDASim;LinDA;0.0785154943677892;0.694615384615385;0.0159615384615385;50;5;26;Setting 11
MIDASim;ZicoSeq;0.0854273906569367;0.768461538461538;0.0441258373529246;50;5;26;Setting 11
